run_id,axis,variant,k,seed,layer,period,share_pct
B_k14_s21,B_k,k14,14,21,operational,2019-2022,42.897397941414965
B_k14_s21,B_k,k14,14,21,operational,2023-2026,32.32561229193986
B_k14_s21,B_k,k14,14,21,institutional,2007-2014,40.05088343650034
B_k14_s21,B_k,k14,14,21,institutional,2015-2018,35.40849217588402
B_k14_s21,B_k,k14,14,21,institutional,2019-2022,41.127247977306574
B_k14_s21,B_k,k14,14,21,institutional,2023-2026,40.20604161499932
B_k14_s21,B_k,k14,14,21,technology,2007-2014,10.161813659336378
B_k14_s21,B_k,k14,14,21,technology,2015-2018,14.03745227975378
B_k14_s21,B_k,k14,14,21,technology,2019-2022,12.718084166117476
B_k14_s21,B_k,k14,14,21,technology,2023-2026,15.866572350584343
B_k14_s21,B_k,k14,14,21,meta,2007-2014,1.188565479060344
B_k14_s21,B_k,k14,14,21,meta,2015-2018,1.4828271134683746
B_k14_s21,B_k,k14,14,21,meta,2019-2022,3.2572728049368984
B_k14_s21,B_k,k14,14,21,meta,2023-2026,11.601776259090002
B_k14_s42,B_k,k14,14,42,operational,2007-2014,63.128193946855994
B_k14_s42,B_k,k14,14,42,operational,2015-2018,56.77479722111457
B_k14_s42,B_k,k14,14,42,operational,2019-2022,42.24311988757917
B_k14_s42,B_k,k14,14,42,operational,2023-2026,32.457514747170535
B_k14_s42,B_k,k14,14,42,institutional,2007-2014,22.44519045658914
B_k14_s42,B_k,k14,14,42,institutional,2015-2018,27.492556457400497
B_k14_s42,B_k,k14,14,42,institutional,2019-2022,26.966986922141384
B_k14_s42,B_k,k14,14,42,institutional,2023-2026,32.491534517434204
B_k14_s42,B_k,k14,14,42,technology,2007-2014,14.41539314516073
B_k14_s42,B_k,k14,14,42,technology,2015-2018,14.207808728733653
B_k14_s42,B_k,k14,14,42,technology,2019-2022,28.25318900258733
B_k14_s42,B_k,k14,14,42,technology,2023-2026,27.2263847808631
B_k14_s42,B_k,k14,14,42,meta,2007-2014,0.011221942804695573
B_k14_s42,B_k,k14,14,42,meta,2015-2018,1.5248403468285687
B_k14_s42,B_k,k14,14,42,meta,2019-2022,2.536707539418583
B_k14_s42,B_k,k14,14,42,meta,2023-2026,7.824568418118361
B_k14_s7,B_k,k14,14,7,operational,2007-2014,78.2712636154732
B_k14_s7,B_k,k14,14,7,operational,2015-2018,62.422015411993925
B_k14_s7,B_k,k14,14,7,operational,2019-2022,54.105461606514936
B_k14_s7,B_k,k14,14,7,operational,2023-2026,41.19121591267003
B_k14_s7,B_k,k14,14,7,institutional,2007-2014,12.010277500485245
B_k14_s7,B_k,k14,14,7,institutional,2015-2018,22.68577549029942
B_k14_s7,B_k,k14,14,7,institutional,2019-2022,27.477574822437923
B_k14_s7,B_k,k14,14,7,institutional,2023-2026,23.764293871503618
B_k14_s7,B_k,k14,14,7,technology,2007-2014,8.903624829508772
B_k14_s7,B_k,k14,14,7,technology,2015-2018,13.177193599822203
B_k14_s7,B_k,k14,14,7,technology,2019-2022,12.281561057105945
B_k14_s7,B_k,k14,14,7,technology,2023-2026,26.506240753697814
B_k14_s7,B_k,k14,14,7,meta,2007-2014,0.8148371135272706
B_k14_s7,B_k,k14,14,7,meta,2015-2018,1.7150135066913208
B_k14_s7,B_k,k14,14,7,meta,2019-2022,6.135403282169136
B_k14_s7,B_k,k14,14,7,meta,2023-2026,8.538251102739498
B_k14_s99,B_k,k14,14,99,operational,2007-2014,42.01830027977849
B_k14_s99,B_k,k14,14,99,operational,2015-2018,48.5283377939777
B_k14_s99,B_k,k14,14,99,operational,2019-2022,32.65377918966503
B_k14_s99,B_k,k14,14,99,operational,2023-2026,30.9730031233092
B_k14_s99,B_k,k14,14,99,institutional,2007-2014,36.41966788157636
B_k14_s99,B_k,k14,14,99,institutional,2015-2018,32.10315014122898
B_k14_s99,B_k,k14,14,99,institutional,2019-2022,42.78478648536192
B_k14_s99,B_k,k14,14,99,institutional,2023-2026,43.18192302334107
B_k14_s99,B_k,k14,14,99,technology,2007-2014,18.671340760435363
B_k14_s99,B_k,k14,14,99,technology,2015-2018,17.689224092991935
B_k14_s99,B_k,k14,14,99,technology,2019-2022,21.26174069858583
B_k14_s99,B_k,k14,14,99,technology,2023-2026,17.694067061506757
B_k14_s99,B_k,k14,14,99,meta,2007-2014,2.8906922362390715
B_k14_s99,B_k,k14,14,99,meta,2015-2018,1.6792912883101963
B_k14_s99,B_k,k14,14,99,meta,2019-2022,3.2996997746684227
B_k14_s99,B_k,k14,14,99,meta,2023-2026,8.15100986210382
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,operational,2007-2014,25.404713411080593
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,operational,2015-2018,29.40958633640548
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,operational,2019-2022,15.604172464340484
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,operational,2023-2026,18.620770817165067
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,institutional,2007-2014,44.79768016920691
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,institutional,2015-2018,54.49769253511476
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,institutional,2019-2022,60.435944639373496
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,institutional,2023-2026,51.0282150872816
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,technology,2007-2014,29.787053245915256
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,technology,2015-2018,13.305309385723376
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,technology,2019-2022,18.680442559064733
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,technology,2023-2026,25.50775922380429
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,meta,2007-2014,0.010554330886710279
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,meta,2015-2018,2.78741013531544
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,meta,2019-2022,5.279442101471229
C_no_domain_stop_s13,C_prepro,no_domain_stop,12,13,meta,2023-2026,4.843256422414774
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,operational,2007-2014,41.6753721870009
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,operational,2015-2018,47.790986698473716
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,operational,2019-2022,26.051890818602665
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,operational,2023-2026,13.20273318240576
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,institutional,2007-2014,31.48270024712474
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,institutional,2015-2018,23.750866139616846
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,institutional,2019-2022,39.407033199018365
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,institutional,2023-2026,50.91989070038684
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,technology,2007-2014,26.598405302956962
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,technology,2015-2018,24.968668988203717
C_no_domain_stop_s42,C_prepro,no_domain_stop,12,42,technology,2019-2022,27.996479930411116
